"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2020029257","1957","1","0","0","0","0","0","0","0","0","2","0","","67","3","2020","3","39.994631","-75.094531","1948","6","0","0","0","0","0","0","0","0","","0","0","0","","","4","","1","","39 59:40.673","","0","75 05:40.311","4","0","0","0","67301","0","0","0","N","0","0","0","5","67301","4","","1.0","","1","N","N","N","0","","0","0","1","","2","","","2","4","3","0","0","0","1","2","0","2","","","","N","","","","","","","","","",""
"2020008631","0942","0","0","0","0","0","0","0","0","0","1","0","","67","1","2020","7","40.040263","-75.006136","0942","6","0","0","0","0","0","0","1","0","","0","0","0","","","0","N","0","","40 02:24.948","","0","75 00:22.091","0","0","0","0","67301","0","0","0","N","0","0","0","3","68K01","0","","1.0","","9","N","N","N","0","","0","0","2","","0","","","2","0","0","0","0","0","0","2","0","2","","07","","N","","","","","","","","","",""
"2020006834","0700","1","0","0","0","0","0","0","0","0","2","0","","67","1","2020","6","40.024314","-75.161267","0652","6","0","0","0","0","0","1","0","0","","0","0","0","","","1","","2","","40 01:27.530","","0","75 09:40.561","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1.0","","1","N","N","N","0","","1","0","1","","3","","","2","1","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2020006451","0825","2","0","0","0","0","0","0","0","0","4","0","","67","1","2020","6","40.111993","-74.990569","0814","6","0","0","0","0","0","1","0","0","","0","0","0","","","0","","1","","40 06:43.175","","0","74 59:26.049","0","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1.0","","1","N","N","N","0","","0","0","1","","2","","","3","0","0","0","0","0","0","2","0","3","","","","N","","","","","","","","","",""
"2020008695","1115","0","0","0","0","0","0","0","0","0","7","0","","67","1","2020","7","40.007399","-75.200078","1101","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","40 00:26.636","4","0","75 12:00.280","0","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","4.0","20.0","9","N","N","N","1","","0","0","0","","0","N","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2020029516","1430","1","0","0","0","0","0","0","0","0","7","0","","67","3","2020","4","40.084278","-75.226603","1411","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","40 05:03.400","","0","75 13:35.770","0","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","4.0","","9","N","N","N","0","","0","0","0","","0","","","1","0","0","0","0","0","0","2","0","1","","03","","N","","","","","","","","","",""
"2020023211","1235","0","0","0","0","0","0","0","0","0","8","0","","67","2","2020","7","39.941169","-75.145668","1230","6","0","0","0","0","0","0","0","0","","0","0","0","","","1","","2","","39 56:28.208","","0","75 08:44.404","3","0","0","0","67301","1","0","0","N","1","0","0","1","67301","0","","1.0","","1","N","N","N","0","","1","0","0","","3","","","2","1","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2020006831","1935","1","0","0","0","0","0","0","0","0","7","0","","67","1","2020","7","39.949575","-75.202072","1922","6","0","0","0","0","0","0","0","0","","0","0","0","","","1","N","0","","39 56:58.470","","0","75 12:07.460","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","6.0","","2","N","N","N","0","","1","0","0","","0","","","1","1","1","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2020007290","1708","1","0","0","0","0","0","0","0","0","2","0","","67","1","2020","3","39.986219","-75.129336","1703","6","0","0","0","0","0","0","0","0","","0","0","0","","","2","","1","","39 59:10.388","","0","75 07:45.610","4","0","0","0","67301","0","0","0","N","0","0","0","2","67301","1","","1.0","","1","N","N","N","0","","0","0","2","","3","","","3","2","0","0","0","1","0","2","0","3","","03","","N","","","","","","","","","",""
"2020008749","1915","1","0","0","0","0","0","0","0","0","1","1","","67","1","2020","2","39.894701","-75.229462","1910","6","0","0","0","0","0","0","0","0","","0","1","0","","","0","","3","","39 53:40.923","","0","75 13:46.063","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","0","0","0","","1","","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
