"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2021015332","1355","2","0","0","0","0","0","0","0","0","4","0","","67","2","2021","6","39.969808","-75.161539","1352","6","0","0","0","0","0","0","0","0","","0","0","0","","","1","","1","","39 58:11.308","","0","75 09:41.540","4","0","0","0","67301","0","0","0","N","0","0","0","2","67301","1","","1.0","","6","N","N","N","0","","0","0","2","3","3","","","4","1","1","0","0","0","0","2","0","4","","03","","N","","","","","","","","","",""
"2021031867","0040","0","0","0","0","0","0","0","0","0","5","0","","67","4","2021","7","39.892858","-75.197014","0024","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","39 53:34.289","2","3","75 11:49.250","9","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","0","","1.0","114.0","1","N","N","N","1","","0","0","1","0","0","N","","2","0","0","0","0","0","1","2","0","2","","","","N","","","","","","","","","",""
"2021043031","0735","2","0","0","0","0","0","0","0","0","1","0","","67","4","2021","6","39.977061","-75.19927","0735","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","","6","","39 58:37.421","3","2","75 11:57.373","0","0","0","0","67301","0","0","0","N","0","0","0","3","68K01","0","","1.0","810.0","1","N","N","Y","0","","0","0","1","3","2","Y","","3","0","0","0","0","0","0","2","0","3","","03","","N","","","","","","","","","",""
"2021030786","2311","2","0","0","0","0","0","0","0","0","4","0","","67","4","2021","7","40.027142","-75.131367","2311","6","0","0","0","0","0","0","0","0","","0","0","0","","","1","N","0","","40 01:37.710","","0","75 07:52.920","3","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","1.0","","1","N","N","N","0","","1","0","0","0","0","","","2","1","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2021015534","2032","1","0","0","0","0","0","0","0","0","5","0","","67","2","2021","7","40.071027","-75.038526","2026","6","0","0","0","0","0","0","0","0","","0","0","0","","","1","N","0","","40 04:15.697","2","0","75 02:18.692","8","0","0","0","67301","0","0","0","N","0","0","0","4","67301","0","","1.0","2115.0","1","N","N","N","0","","0","0","1","0","0","Y","","3","1","0","0","0","1","1","2","0","3","","03","","N","","","","","","","","","",""
"2021017002","2017","1","0","0","0","0","0","0","0","0","4","0","","67","2","2021","6","40.020563","-75.20997","2003","6","0","1","0","0","0","0","0","0","","0","0","0","","","1","","3","","40 01:14.026","","0","75 12:35.892","3","0","0","0","67301","0","0","0","N","0","0","0","6","67301","0","","1.0","","1","N","N","N","0","","1","0","0","0","0","","","2","1","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2021016257","1108","4","0","0","0","0","0","0","0","0","6","0","","67","2","2021","1","39.944019","-75.245298","1105","6","0","0","0","0","0","0","1","0","","0","0","0","","","1","N","0","","39 56:38.469","6","0","75 14:43.072","3","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","1130.0","2","N","N","N","0","","1","0","1","0","0","Y","","6","1","0","0","0","0","0","2","1","6","","03","","N","","","","","","","","","",""
"2021016352","2240","1","0","0","0","0","0","0","0","0","4","0","","67","2","2021","1","39.94672","-75.162624","2240","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","","1","","39 56:48.192","","0","75 09:45.448","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","0","0","1","3","2","","","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2021017417","1030","1","0","0","0","0","0","0","0","0","4","0","","67","2","2021","3","40.00548","-75.146585","1030","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","","1","","40 00:19.727","1","0","75 08:47.706","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","1030.0","1","N","N","N","0","","0","0","1","3","3","N","","3","0","1","0","0","0","0","2","1","3","","","","N","","","","","","","","","",""
"2021030542","0125","1","0","0","0","0","0","0","0","0","5","0","","67","4","2021","6","40.00751","-75.201115","0123","6","0","0","0","0","0","0","1","0","","0","0","0","","","4","N","0","","40 00:27.037","3","0","75 12:04.014","3","0","0","0","67301","0","0","0","N","0","0","0","4","68K01","0","","1.0","140.0","1","N","N","N","0","","4","0","1","0","0","N","","2","4","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2021031963","0241","1","0","0","0","0","0","0","0","0","4","0","","67","4","2021","4","39.99106","-75.114399","0241","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","39 59:27.817","","0","75 06:51.838","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","0","0","2","0","0","","","3","0","2","0","0","0","0","2","0","3","","","","N","","","","","","","","","",""
"2021032249","1531","1","0","0","0","0","0","0","0","0","4","0","","67","4","2021","3","40.012275","-75.113711","1524","6","0","0","0","0","1","0","0","0","","0","0","0","","","2","N","0","","40 00:44.190","","0","75 06:49.360","3","0","0","0","67301","0","0","0","N","0","0","0","4","67301","0","","1.0","","1","N","N","N","0","","2","0","1","0","0","","","2","2","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2021022942","1545","1","0","0","0","0","0","0","0","0","7","0","","67","2","2021","5","39.948298","-75.142082","1540","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","39 56:53.873","","0","75 08:31.496","0","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","4.0","","9","N","N","N","0","","0","0","0","0","0","","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2021031033","0333","1","0","0","0","0","0","0","0","0","98","0","","67","3","2021","1","40.056472","-75.140006","0328","6","0","0","0","0","0","0","0","0","","1","0","0","","","0","N","0","","40 03:23.299","","0","75 08:24.020","1","1","0","1","67301","0","0","0","N","0","0","0","1","67301","0","2","1.0","","1","N","N","N","0","0","0","0","0","0","0","","","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2021016287","0006","0","0","0","0","0","0","0","0","0","7","0","","67","2","2021","7","40.081803","-75.066198","0004","6","0","0","0","0","0","1","0","0","","0","0","0","","","0","N","0","","40 04:54.490","","0","75 03:58.314","0","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","4.0","","2","N","N","N","0","","0","0","1","0","0","","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2021030543","0816","0","0","0","0","0","0","0","0","0","5","1","","67","4","2021","6","39.893277","-75.231667","0800","6","0","0","0","0","0","1","0","0","","0","1","0","","","0","N","7","","39 53:35.796","","0","75 13:54.001","0","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","0","","1.0","","1","N","N","N","0","","0","0","1","3","4","","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2021020386","2233","1","0","0","0","0","0","0","0","0","7","0","","67","2","2021","7","39.893338","-75.229502","2224","6","0","0","0","0","0","0","0","0","","0","0","0","","","1","N","0","","39 53:36.016","","0","75 13:46.208","3","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","3.0","","1","N","N","Y","0","","1","0","0","0","0","","","1","1","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2021015116","0337","1","0","0","0","0","0","0","0","0","0","0","","67","2","2021","6","39.948949","-75.141949","0329","6","0","0","0","0","1","0","0","0","","0","0","0","","","0","N","0","","39 56:56.216","2","0","75 08:31.016","0","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","1.0","348.0","1","N","N","N","0","","0","0","0","0","0","N","","1","0","0","0","0","0","0","2","0","1","","03","","N","","","","","","","","","",""
"2021030721","1945","1","0","0","0","0","0","0","0","0","4","0","","67","4","2021","7","39.982508","-75.187541","1942","6","0","0","0","0","0","0","0","0","","0","0","0","","","2","","1","","39 58:57.028","","0","75 11:15.147","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1.0","","1","N","N","N","1","","2","0","0","3","3","","","2","2","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2021032124","1243","2","0","0","0","0","0","0","0","0","2","0","","67","4","2021","3","39.976104","-75.238564","1243","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","","1","","39 58:33.973","","0","75 14:18.832","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","0","0","0","3","2","","","2","0","2","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2021015663","0118","1","0","0","0","0","0","0","0","0","7","0","","67","2","2021","1","39.915191","-75.229246","0111","6","0","0","0","0","0","0","0","0","","0","0","0","","","1","","11","","39 54:54.689","","0","75 13:45.286","8","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","4.0","","2","N","N","N","0","","0","0","0","3","3","","","1","1","0","0","0","1","1","2","0","1","","06","","N","","","","","","","","","",""
